candidate,image_file,image_url,news_source,news_source_url,image_hash,allsides_bias_rating,facebook_p,facebookbias_rating,facebook_int,combine_rating,final_rating
hillary_clinton,0_hillary_clinton.jpg,http://pixel.nymag.com/imgs/fashion/daily/2016/09/26/hillary-clinton-debate.w710.h473.2x.jpg,New York Magazine,http://nymag.com/thecut/2016/09/hillary-clintons-sickest-debate-burns.html,1d1a1a9e1e1b0d0f,-2,,999.0,999,Left,Left
hillary_clinton,1_hillary_clinton.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/161018105950-03-hillary-clinton-file-1011-full-169.jpg,CNN.com,http://www.cnn.com/2016/12/21/politics/donald-trump-hillary-clinton-popular-vote-final-count/,efd3d3a9dbd2a1e1,0,www.cnn.com,-0.2705,-1,Unknown / unreliable,Center
hillary_clinton,2_hillary_clinton.jpg,http://cdn.thefederalist.com/wp-content/uploads/2016/10/Hillary-debate-998x698.jpg,The Federali,http://thefederalist.com/2016/10/20/the-five-most-outrageous-hillary-clinton-lies-from-the-last-debate/,9f9d8f9ddf193656,1,thefederalist.com,0.8559,2,Right,Right
hillary_clinton,3_hillary_clinton.jpg,http://i.huffpost.com/gen/4727452/images/n-HILLARY-CLINTON-628x314.jpg,The Huffington Po,http://www.huffingtonpost.com/isaac-saul/i-wrote-that-i-despised-hillary-clinton-i-take-it-back_b_12220124.html,9819181899191c18,999,www.huffingtonpost.com,-0.6176,-2,Left,Left
hillary_clinton,4_hillary_clinton.jpg,http://media.salon.com/2016/10/hillary_clinton_mtr5-620x412.jpg,Salon,http://www.salon.com/2016/10/20/hillary-clinton-is-an-actual-feminist-she-met-trumps-misogyny-head-on-without-apology/,4c0c0c4914363f3f,-2,www.salon.com,-0.8753,-2,Left,Left
hillary_clinton,5_hillary_clinton.jpg,http://static3.businessinsider.com/image/57ebbd72b0ef977f298b863b-1190-625/here-are-all-the-major-newspapers-that-have-endorsed-hillary-clinton-for-president.jpg,Business Insider,http://www.businessinsider.com/hillary-clinton-endorsements-newspaper-editorial-board-president-2016-2016-9,c1cdcdcd1d9d8988,0,www.businessinsider.com,-0.0585,0,Center,Center
hillary_clinton,6_hillary_clinton.jpg,http://static4.businessinsider.com/image/57ea366db0ef9764008b8572-1190-625/5-pieces-of-evidence-that-hillary-clinton-won-the-big-presidential-debate.jpg,Business Insider,http://www.businessinsider.com/why-hillary-clinton-won-the-debate-2016-9,170f0f0f4d0d4d0e,0,www.businessinsider.com,-0.0585,0,Center,Center
hillary_clinton,8_hillary_clinton.jpg,http://cdn.images.express.co.uk/img/dynamic/78/590x/secondary/hillary-clinton-glasses-649196.jpg,Daily Expre,http://www.express.co.uk/news/world/709081/Hillary-Clinton-health-US-presidential-election-year-vascular-dementia-claim,8e8f070f5f5c0d9b,999,,999.0,999,Unknown / unreliable,Right
hillary_clinton,9_hillary_clinton.jpg,http://static2.businessinsider.com/image/57ede35bd8872425008b4596-480/hillary-clinton-newspaper.jpg,Business Insider,http://www.businessinsider.com/hillary-clinton-endorsements-newspaper-editorial-board-president-2016-2016-9,4d232321a1b14252,0,www.businessinsider.com,-0.0585,0,Center,Center
hillary_clinton,10_hillary_clinton.jpg,https://www.gannett-cdn.com/-mm-/4cf54f94e2f757b9d4e2a4becdb92a2fdf178f7a/c\u003d280-0-2496-1666\u0026r\u003dx404\u0026c\u003d534x401/local/-/media/2016/09/23/Cincinnati/Cincinnati/636102299100675700-HillaryClinton-AmericanLegion-0006-1-.jpg,Cincinnati Enquirer,http://www.cincinnati.com/story/opinion/editorials/2016/09/23/enquirer-endorses-hillary-clinton-donald-trump/90728344/,1b191d1e121b258d,999,,999.0,999,Unknown / unreliable,Center
hillary_clinton,11_hillary_clinton.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/160911134326-03-hillary-clinton-leaves-chelseas-apt-0911-exlarge-169.jpg,CNN.com,http://www.cnn.com/2016/09/11/politics/hillary-clinton-health-2016-election/,3434246574bca969,0,www.cnn.com,-0.2705,-1,Unknown / unreliable,Center
hillary_clinton,12_hillary_clinton.jpg,http://i2.wp.com/peopledotcom.files.wordpress.com/2016/10/clinton.jpg?crop\u003d0px%2C0px%2C1682px%2C1333px\u0026resize\u003d2000%2C1333\u0026ssl\u003d1,People,http://people.com/politics/naked-hillary-clinton-statue-new-york-city/,96864e4e0f07e6f6,999,,999.0,999,Unknown / unreliable,Right
hillary_clinton,13_hillary_clinton.jpg,http://www.denverpost.com/wp-content/uploads/2016/10/hillary-clinton-for-president1.jpg,The Denver Po,http://www.denverpost.com/2016/10/07/denver-post-endorses-hillary-clinton-for-president/,86ce5b4a8667454b,999,www.denverpost.com,-0.2012,-1,Left,Left
hillary_clinton,14_hillary_clinton.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/160902134341-hillary-clinton-0831-large-169.jpg,CNN.com,http://www.cnn.com/2016/09/07/politics/how-hillary-clinton-could-win/,98383c3c3c3c2c8e,0,www.cnn.com,-0.2705,-1,Unknown / unreliable,Center
hillary_clinton,15_hillary_clinton.jpg,http://media.breitbart.com/media/2016/09/GettyImages-599728506-640x480.jpg,Breitbar,http://www.breitbart.com/2016-presidential-race/2016/10/02/ed-klein-hillary-uses-people-as-punching-bags/,9b2c3d3f9f9c5a18,2,www.breitbart.com,0.9136,2,Right,Right
hillary_clinton,16_hillary_clinton.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Hillary_Clinton_1992.jpg,Reveli,http://www.revelist.com/politics/hillary-clinton-sexism-history/3861,86838f06060d0d3a,999,,999.0,999,Unknown / unreliable,Left
hillary_clinton,18_hillary_clinton.jpg,http://img.wennermedia.com/480-width/hillary-clinton-53d90c4e-7965-4647-b33f-8f3e479e24f7.jpg,Us Weekly,http://www.usmagazine.com/stylish/news/reebok-reimagines-hillary-clintons-power-suit-pics-w445672,4c2ea2e2e6e4c2d2,999,,999.0,999,Unknown / unreliable,Unknown / unreliable
hillary_clinton,19_hillary_clinton.jpg,http://static4.businessinsider.com/image/57d5ff8fb0ef9737018b4e52-480/hillary-clinton.jpg,Business Insider,http://www.businessinsider.com/hillary-clinton-pneumonia-health-scare-scandal-2016-9,a5b797c3cbebe9e9,0,www.businessinsider.com,-0.0585,0,Center,Center
hillary_clinton,20_hillary_clinton.jpg,http://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2016/10/19/104033435-AP_16294042467704.530x298.jpg?v\u003d1476926033,CNBC.com,http://www.cnbc.com/2016/10/19/hillary-clinton-heres-what-i-want-in-the-supreme-court.html,4c4ccdcccc969707,0,www.cnbc.com,0.0503,0,Center,Center
hillary_clinton,21_hillary_clinton.jpg,http://cdn.images.express.co.uk/img/dynamic/78/590x/hillary-clinton-ill-709081.jpg,Daily Expre,http://www.express.co.uk/news/world/709081/Hillary-Clinton-health-US-presidential-election-year-vascular-dementia-claim,06474f47078b93b7,999,,999.0,999,Unknown / unreliable,Right
hillary_clinton,22_hillary_clinton.jpg,http://www.newyorker.com/wp-content/uploads/2016/09/Kavner-Hillary-Clinton-Debate-Performance-1200.jpg,The New Yorker,http://www.newyorker.com/humor/daily-shouts/five-extremely-logical-theories-about-hillary-clintons-debate-performance,0f0c0f091f2b29b9,999,www.newyorker.com,-0.7584,-2,Left,Left
