p,avg_align,,,,Source,top_level_link,top_level_link_cleaned,avg_align,Total_articles
6abc.com,-0.5037,,,,The Hill,http://thehill.com/,thehill.com,0.1661,30
7online.com,-0.4067,,,,Politico,http://www.politico.com/,politico.com,-0.1334,27
aattp.org,-0.8936,,,,The Washington Post,https://www.washingtonpost.com,washingtonpost.com,-0.2568,25
abc11.com,-0.19,,,,The Huffington Post,http://www.huffingtonpost.com/,huffingtonpost.com,-0.6176,21
abc7.com,-0.31,,,,New York Times,http://www.nytimes.com/,nytimes.com,-0.5469,18
abc7chicago.com,-0.503,,,,CBS News,http://www.cbsnews.com/,cbsnews.com,-0.127,17
act.weareultraviolet.org,-0.971,,,,CNN,http://www.cnn.com/,cnn.com,-0.2705,16
alternativemediasyndicate.com,-0.5579,,,,Bloomberg L.P.,http://www.bloomberg.com/,bloomberg.com,-0.1565,13
america.aljazeera.com,-0.7362,,,,Salon,http://www.salon.com/,salon.com,-0.8753,11
anonhq.com,-0.4102,,,,Newsweek,http://www.newsweek.com/,newsweek.com,-0.2726,10
app.actionsprout.com,-0.6993,,,,NBC News,http://www.nbcnews.com/,nbcnews.com,-0.2735,9
atlantablackstar.com,-0.7055,,,,Fox News Channel,http://www.foxnews.com/,foxnews.com,,8
bangordailynews.com,-0.1732,,,,CNSNews.com,http://cnsnews.com/,cnsnews.com,0.8979,7
battleforthenet.com,-0.5612,,,,The Daily Caller,http://dailycaller.com/,dailycaller.com,0.8697,7
bigstory.ap.org,-0.2022,,,,International Business Times,http://www.ibtimes.com/,ibtimes.com,-0.1405,7
billmoyers.com,-0.839,,,,TheBlaze,http://www.theblaze.com/,theblaze.com,0.8887,7
blackamericaweb.com,-0.7772,,,,Time,http://time.com/,time.com,-0.3336,7
bluenationreview.com,-0.8883,,,,USA Today,http://www.usatoday.com/,usatoday.com,-0.0635,7
boingboing.net,-0.7779,,,,ABC News,abcnews.go.com,abcnews.go.com,-0.1605,6
briefly.today,-0.3198,,,,Headlines & Global News,http://www.hngn.com/,hngn.com,,6
chicago.cbslocal.com,-0.2568,,,,PolitiFact.com,http://www.politifact.com/,politifact.com,-0.4802,6
countercurrentnews.com,-0.556,,,,The Times and Democrat,http://thetandd.com/,thetandd.com,,6
crooksandliars.com,-0.9218,,,,The Christian Science Monitor,http://www.csmonitor.com/,csmonitor.com,,5
d.shpg.org,-0.8971,,,,Reading Eagle,http://www.readingeagle.com/,readingeagle.com,,5
dailycurrant.com,-0.375,,,,Voice of America,http://www.voanews.com/,voanews.com,,5
earthweareone.com,-0.4698,,,,Vtdigger.Org,http://vtdigger.org/,vtdigger.org,,5
ecowatch.com,-0.8554,,,,The Wall Street Journal,http://www.wsj.com/,wsj.com,0.2754,5
edition.cnn.com,-0.2615,,,,Chicago Tribune,http://www.chicagotribune.com/,chicagotribune.com,-0.3117,4
egbertowillies.com,-0.8701,,,,Foreign Policy,http://foreignpolicy.com/,foreignpolicy.com,-0.1516,4
electronicintifada.net,-0.8074,,,,Fusion,http://fusion.net/,fusion.net,,4
elitedaily.com,-0.2558,,,,MassLive.com,http://www.masslive.com/,masslive.com,,4
en.wikipedia.org,-0.2145,,,,Newsday,http://www.newsday.com/,newsday.com,,4
filmingcops.com,-0.389,,,,Quad-City Times,http://qctimes.com/,qctimes.com,,4
firstlook.org,-0.6805,,,,Talking Points Memo,http://talkingpointsmemo.com/,talkingpointsmemo.com,-0.8614,4
fivethirtyeight.com,-0.5225,,,,U.S. News & World Report,http://www.usnews.com/,usnews.com,-0.0392,4
fox8.com,-0.1676,,,,WKYC,http://www.wkyc.com/,wkyc.com,,4
foxbaltimore.com,-0.1907,,,,WFTS-TV,http://www.abcactionnews.com/,abcactionnews.com,,3
gawker.com,-0.7749,,,,Education Week,http://blogs.edweek.org/,blogs.edweek.org,,3
gizmodo.com,-0.3002,,,,The Boston Globe,https://www.bostonglobe.com,bostonglobe.com,-0.4446,3
globalgrind.com,-0.8729,,,,The Dallas Morning News,http://www.dallasnews.com/,dallasnews.com,,3
gothamist.com,-0.7415,,,,The Detroit News,http://www.detroitnews.com/,detroitnews.com,,3
grist.org,-0.8452,,,,The Eagle-Tribune,www.eagletribune.com,eagletribune.com,,3
hemp.org,-0.5268,,,,Gant Daily,http://www.gantdaily.com/,gantdaily.com,,3
hightimes.com,-0.4301,,,,The Greenville News,http://www.greenvilleonline.com/,greenvilleonline.com,,3
host.madison.com,-0.7585,,,,Houston Chronicle,http://www.houstonchronicle.com/,houstonchronicle.com,,3
huzlers.com,-0.4188,,,,KOLO-TV,http://www.kolotv.com/,kolotv.com,,3
indiancountrytodaymedianetwork.com,-0.692,,,,The Atlanta Journal-Constitution,http://www.myajc.com/,myajc.com,,3
investigations.peta.org,-0.4281,,,,WCBS-TV,http://newyork.cbslocal.com/,newyork.cbslocal.com,-0.2017,3
io9.com,-0.6232,,,,NPR,http://www.npr.org/,npr.org,-0.6103,3
jezebel.com,-0.9487,,,,New York Daily News,http://www.nydailynews.com/,nydailynews.com,-0.2139,3
ktla.com,-0.2287,,,,The Patriot-News,http://www.pennlive.com/,pennlive.com,,3
leftaction.com,-0.8878,,,,People,http://www.people.com/,people.com,-0.2034,3
m.nydailynews.com,-0.2295,,,,Reason,https://reason.com,reason.com,0.3502,3
madamenoire.com,-0.8568,,,,Rutland Herald,http://www.rutlandherald.com/,rutlandherald.com,,3
mashable.com,-0.4106,,,,Slate,http://www.slate.com/,slate.com,-0.6813,3
mediamatters.org,-0.8509,,,,The Atlantic,http://www.theatlantic.com/,theatlantic.com,-0.5424,3
mic.com,-0.7083,,,,United Press International,http://www.upi.com/,upi.com,,3
mondoweiss.net,-0.7135,,,,WLTX,http://www.wltx.com/,wltx.com,,3
money.cnn.com,-0.2565,,,,AL.com,www.al.com,al.com,0.009,2
nahadaily.com,-0.7746,,,,ATTN,http://www.attn.com/,attn.com,-0.7747,2
newjersey.news12.com,-0.2447,,,,Becker's Hospital Review,http://www.beckershospitalreview.com/,beckershospitalreview.com,,2
news.kron4.com,-0.6604,,,,WDJT-TV,www.cbs58.com,cbs58.com,,2
news.vice.com,-0.4284,,,,CBS Local,cbslocal.com,cbslocal.com,,2
newsone.com,-0.7794,,,,CNBC,http://www.cnbc.com/,cnbc.com,0.0503,2
newyork.cbslocal.com,-0.2017,,,,WCBD-TV,counton2.com,counton2.com,,2
petitions.whitehouse.gov,-0.2005,,,,Courthouse News Service,http://www.courthousenews.com/,courthousenews.com,,2
pittsburgh.cbslocal.com,-0.1747,,,,Daily Herald,http://www.dailyherald.com/,dailyherald.com,,2
