requested_at,search_query,visible_link,rank,image_path,image_hash,news_source_url,bias_rating,facebook_p,facebookbias_rating,facebook_int,combine_rating,allsides_bias_rating,final_rating
9/3/16 17:21,hillary clinton,https://plus.google.com/100418579567144177985,1,./images/4352/4352_1_hillary_clinton_1.jpg,861e1f37179f0e8c,plus.google.com,999,,999,999,Unknown / unreliable,999,Left
9/3/16 17:21,hillary clinton,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/4352/4352_2_hillary_clinton_2.jpg,764fce5e4be6b6d2,en.wikipedia.org,999,en.wikipedia.org,-0.2145,-1,Left,999,Left
9/3/16 17:21,hillary clinton,http://russia-insider.com/en/node/15518,3,./images/4352/4352_3_hillary_clinton_3.jpg,2f1e0e0e1f1b1b9b,russia-insider.com,999,,999,999,Unknown / unreliable,999,Right
9/3/16 17:21,hillary clinton,http://www.cnn.com/election/primaries/candidates/hillary-clinton,4,./images/4352/4352_4_hillary_clinton_4.jpg,96970f0706064e86,www.cnn.com,999,www.cnn.com,-0.2705,-1,Left,999,Left
9/3/16 17:21,hillary clinton,https://www.youtube.com/watch?v=-dY77j6uBHI,5,./images/4352/4352_5_hillary_clinton_5.jpg,983d7d1c3c1c1c6f,www.youtube.com,999,www.youtube.com,0.0634,0,Center,999,Right
9/3/16 18:28,hillary clinton,https://plus.google.com/100418579567144177985,1,./images/4365/4365_27_hillary_clinton_1.jpg,861e1f37179f0e8c,plus.google.com,999,,999,999,Unknown / unreliable,999,Left
9/3/16 18:28,hillary clinton,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/4365/4365_28_hillary_clinton_2.jpg,764fce5e4be6b6d2,en.wikipedia.org,999,en.wikipedia.org,-0.2145,-1,Left,999,Left
9/3/16 18:28,hillary clinton,http://www.cnn.com/election/primaries/candidates/hillary-clinton,3,./images/4365/4365_29_hillary_clinton_3.jpg,96970f0706064e86,www.cnn.com,999,www.cnn.com,-0.2705,-1,Left,999,Left
9/3/16 18:28,hillary clinton,http://russia-insider.com/en/node/15518,4,./images/4365/4365_30_hillary_clinton_4.jpg,2f1e0e0e1f1b1b9b,russia-insider.com,999,,999,999,Unknown / unreliable,999,Right
9/3/16 18:28,hillary clinton,https://www.youtube.com/watch?v=-dY77j6uBHI,5,./images/4365/4365_31_hillary_clinton_5.jpg,983d7d1c3c1c1c6f,www.youtube.com,999,www.youtube.com,0.0634,0,Center,999,Right
