serp_id,requested_at,search_query,id,link,visible_link,rank,image_path,image_hash
4352,2016-09-03 17:21:43,hillary clinton,61091,/imgres?imgurl=https://lh4.googleusercontent.com/-eXKU4UhFusI/AAAAAAAAAAI/AAAAAAAAATA/1QahWqsqd-I/s0-c-k-no-ns/photo.jpg&imgrefurl=https://plus.google.com/u/0/100418579567144177985&h=1198&w=1200&tbnid=nzJ4iIyOn0P1dM:&tbnh=186&tbnw=186&docid=3KKANlO3h06JbM&itg=1&usg=__a4BrdtGQmqwg2FftrRcOkBCh6gU=,https://plus.google.com/100418579567144177985,1,./images/4352/4352_1_hillary_clinton_1.jpg,861e1f37179f0e8c
4352,2016-09-03 17:21:43,hillary clinton,61092,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=l1bOsnffsqudkM%253A%253Baa-QNjwhVwqTsM%253Bhttps%25253A%25252F%25252Fen.wikipedia.org%25252Fwiki%25252FHillary_Clinton&source=iu&pf=m&fir=l1bOsnffsqudkM%253A%252Caa-QNjwhVwqTsM%252C_&usg=__YulZmYqEL0j6l6DSYgreZ7JhP1M%3D,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/4352/4352_2_hillary_clinton_2.jpg,764fce5e4be6b6d2
4352,2016-09-03 17:21:43,hillary clinton,61093,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=V5Ws_loMXw__aM%253A%253BG1MJMVh1puHt9M%253Bhttp%25253A%25252F%25252Frussia-insider.com%25252Fen%25252Fnode%25252F15518&source=iu&pf=m&fir=V5Ws_loMXw__aM%253A%252CG1MJMVh1puHt9M%252C_&usg=__vXwcgxFTdAYtYVq65mFHoxeWCKE%3D,http://russia-insider.com/en/node/15518,3,./images/4352/4352_3_hillary_clinton_3.jpg,2f1e0e0e1f1b1b9b
4352,2016-09-03 17:21:43,hillary clinton,61094,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=9B_kD-B9a0WaKM%253A%253B9iPGjgkACxIzvM%253Bhttp%25253A%25252F%25252Fwww.cnn.com%25252Felection%25252Fprimaries%25252Fcandidates%25252Fhillary-clinton&source=iu&pf=m&fir=9B_kD-B9a0WaKM%253A%252C9iPGjgkACxIzvM%252C_&usg=__40AWlQh7TIjbSV4E2_lYak2K-TY%3D,http://www.cnn.com/election/primaries/candidates/hillary-clinton,4,./images/4352/4352_4_hillary_clinton_4.jpg,96970f0706064e86
4352,2016-09-03 17:21:43,hillary clinton,61095,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=pWHvVC4jb-UK8M%253A%253BN5BNSGs9UXNBlM%253Bhttps%25253A%25252F%25252Fwww.youtube.com%25252Fwatch%25253Fv%2525253D-dY77j6uBHI&source=iu&pf=m&fir=pWHvVC4jb-UK8M%253A%252CN5BNSGs9UXNBlM%252C_&usg=__DkkHpjrdnAjSLdpB7NWaXDCr1wU%3D,https://www.youtube.com/watch?v=-dY77j6uBHI,5,./images/4352/4352_5_hillary_clinton_5.jpg,983d7d1c3c1c1c6f
4365,2016-09-03 18:28:22,hillary clinton,61358,/imgres?imgurl=https://lh4.googleusercontent.com/-eXKU4UhFusI/AAAAAAAAAAI/AAAAAAAAATA/1QahWqsqd-I/s0-c-k-no-ns/photo.jpg&imgrefurl=https://plus.google.com/u/0/100418579567144177985&h=1198&w=1200&tbnid=nzJ4iIyOn0P1dM:&tbnh=186&tbnw=186&docid=3KKANlO3h06JbM&itg=1&usg=__a4BrdtGQmqwg2FftrRcOkBCh6gU=,https://plus.google.com/100418579567144177985,1,./images/4365/4365_27_hillary_clinton_1.jpg,861e1f37179f0e8c
4365,2016-09-03 18:28:22,hillary clinton,61359,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=l1bOsnffsqudkM%253A%253Baa-QNjwhVwqTsM%253Bhttps%25253A%25252F%25252Fen.wikipedia.org%25252Fwiki%25252FHillary_Clinton&source=iu&pf=m&fir=l1bOsnffsqudkM%253A%252Caa-QNjwhVwqTsM%252C_&usg=__YulZmYqEL0j6l6DSYgreZ7JhP1M%3D,https://en.wikipedia.org/wiki/Hillary_Clinton,2,./images/4365/4365_28_hillary_clinton_2.jpg,764fce5e4be6b6d2
4365,2016-09-03 18:28:22,hillary clinton,61360,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=9B_kD-B9a0WaKM%253A%253B9iPGjgkACxIzvM%253Bhttp%25253A%25252F%25252Fwww.cnn.com%25252Felection%25252Fprimaries%25252Fcandidates%25252Fhillary-clinton&source=iu&pf=m&fir=9B_kD-B9a0WaKM%253A%252C9iPGjgkACxIzvM%252C_&usg=__40AWlQh7TIjbSV4E2_lYak2K-TY%3D,http://www.cnn.com/election/primaries/candidates/hillary-clinton,3,./images/4365/4365_29_hillary_clinton_3.jpg,96970f0706064e86
4365,2016-09-03 18:28:22,hillary clinton,61361,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=V5Ws_loMXw__aM%253A%253BG1MJMVh1puHt9M%253Bhttp%25253A%25252F%25252Frussia-insider.com%25252Fen%25252Fnode%25252F15518&source=iu&pf=m&fir=V5Ws_loMXw__aM%253A%252CG1MJMVh1puHt9M%252C_&usg=__vXwcgxFTdAYtYVq65mFHoxeWCKE%3D,http://russia-insider.com/en/node/15518,4,./images/4365/4365_30_hillary_clinton_4.jpg,2f1e0e0e1f1b1b9b
4365,2016-09-03 18:28:22,hillary clinton,61362,/search?q=hillary+clinton&biw=1300&bih=550&site=webhp&tbm=isch&imgil=pWHvVC4jb-UK8M%253A%253BN5BNSGs9UXNBlM%253Bhttps%25253A%25252F%25252Fwww.youtube.com%25252Fwatch%25253Fv%2525253D-dY77j6uBHI&source=iu&pf=m&fir=pWHvVC4jb-UK8M%253A%252CN5BNSGs9UXNBlM%252C_&usg=__DkkHpjrdnAjSLdpB7NWaXDCr1wU%3D,https://www.youtube.com/watch?v=-dY77j6uBHI,5,./images/4365/4365_31_hillary_clinton_5.jpg,983d7d1c3c1c1c6f
